customer_id,year_month,nb_transactions,ElasticNet,KNeighborsRegressor,MLP,prediction_aggregated
3281066,2019-12,23,68,6,9,27
3282204,2019-10,13,27,4,30,20
3282204,2019-11,2,20,9,12,13
3282204,2019-12,0,19,15,8,14
3335667,2019-10,26,59,39,33,43
3345922,2019-10,11,36,51,138,75
3345922,2019-11,22,44,38,0,27
3345922,2019-12,14,39,20,19,26
3359398,2019-10,1,37,35,36,36
3359398,2019-11,0,25,10,10,15
3359398,2019-12,2,19,6,0,8
3362704,2019-10,30,63,29,42,45
3362704,2019-11,6,38,23,18,26
3370359,2019-10,3,38,35,31,34
3370359,2019-11,9,34,37,32,35
3370359,2019-12,8,27,8,20,19
3403487,2019-10,25,73,17,53,48
3403487,2019-11,0,51,12,30,31
3410537,2019-10,4,20,12,20,17
3410537,2019-11,3,19,7,17,14
3410537,2019-12,1,18,8,14,13
3446262,2019-10,4,94,75,60,76
3446262,2019-11,0,79,46,62,62
3446262,2019-12,0,57,35,57,50
3463910,2019-10,0,16,23,5,15
3463910,2019-11,5,18,44,1,21
3463910,2019-12,12,23,8,2,11
3482861,2019-10,1,28,3,8,13
3484188,2019-10,36,74,71,80,75
3484188,2019-11,37,81,55,78,71
3497621,2019-10,13,54,37,57,49
3497621,2019-11,17,43,17,38,33
3497621,2019-12,8,30,15,27,24
3498179,2019-10,16,87,76,99,87
3498179,2019-11,2,59,85,78,74
3498179,2019-12,1,40,46,62,49
3506724,2019-10,246,465,460,388,438
3506724,2019-11,152,395,331,389,372
3506724,2019-12,59,324,235,438,332
3520017,2019-10,0,18,26,9,18
3520017,2019-11,16,29,22,16,22
3537244,2019-10,48,152,349,220,240
3537244,2019-11,42,141,321,199,220
3537244,2019-12,26,122,63,133,106
3542013,2019-10,7,43,39,49,44
3542013,2019-11,2,45,39,46,43
3542181,2019-10,0,29,7,15,17
3542181,2019-11,20,40,39,19,32
3551916,2019-10,18,46,13,9,23
3551916,2019-11,22,55,12,10,26
3602471,2019-10,0,22,17,7,15
3602471,2019-11,5,23,13,5,13
3602471,2019-12,0,17,10,8,12
3606248,2019-10,66,158,257,168,194
3606248,2019-11,24,112,175,156,147
3606248,2019-12,27,93,39,109,81
3634986,2019-10,53,144,119,198,154
3634986,2019-11,65,132,127,154,137
3634986,2019-12,4,77,40,68,62
3637532,2019-10,45,125,138,101,121
3637532,2019-11,118,160,40,84,95
3637532,2019-12,43,114,32,94,80
3706750,2019-10,1,48,41,33,41
3706750,2019-11,18,55,27,31,38
3721624,2019-10,12,52,24,46,41
3721624,2019-11,0,40,26,27,31
3721624,2019-12,0,36,6,28,23
3738908,2019-10,231,506,723,554,594
3738908,2019-11,310,478,378,427,428
3738908,2019-12,219,408,502,296,402
3745019,2019-10,9,55,80,61,65
3745019,2019-11,16,45,18,50,38
3745019,2019-12,6,35,12,42,29
3754535,2019-10,9,62,25,74,54
3754535,2019-11,5,53,27,60,47
3754535,2019-12,6,47,30,43,40
3777289,2019-10,6,32,29,31,31
3777289,2019-11,5,29,24,14,23
3785281,2019-10,1,56,53,65,58
3785281,2019-11,5,59,58,69,62
3786990,2019-10,5,53,25,39,39
3786990,2019-11,0,45,83,29,52
3797222,2019-10,10,47,19,20,29
3797222,2019-11,0,39,4,7,17
3798379,2019-10,31,208,163,253,208
3798379,2019-11,45,199,193,249,214
3798379,2019-12,25,154,144,191,163
3827001,2019-10,12,77,93,108,92
3827001,2019-11,24,67,79,97,81
3827001,2019-12,8,45,56,50,50
3835552,2019-10,4,42,7,13,21
3835552,2019-11,1,34,11,13,19
3841595,2019-10,0,19,8,8,12
3841595,2019-11,0,17,0,2,7
3841595,2019-12,21,30,5,18,18
3841729,2019-10,10,37,24,19,27
3850693,2019-10,4,32,26,20,26
3850693,2019-11,2,27,11,15,18
3850693,2019-12,0,23,4,6,11
3884227,2019-10,7,65,52,41,53
3884227,2019-11,0,54,24,20,33
3896635,2019-10,8,50,33,59,47
3902292,2019-10,25,60,49,42,51
3902292,2019-11,37,63,62,40,55
3902292,2019-12,126,134,84,134,117
3910746,2019-10,7,31,10,12,17
3910746,2019-11,8,32,1,1,11
3910746,2019-12,1,26,2,6,11
3923649,2019-10,2,36,43,37,39
3923649,2019-11,0,27,29,22,26
3926262,2019-10,75,240,215,314,256
3926262,2019-11,107,238,259,283,260
3926262,2019-12,40,164,168,175,169
3937850,2019-10,2,31,1,21,18
3937850,2019-11,3,26,2,12,13
3944257,2019-10,33,74,70,56,67
3944257,2019-11,2,39,4,21,21
3986132,2019-10,4,21,6,11,12
3986132,2019-11,0,15,4,5,8
3986132,2019-12,0,13,4,10,9
3991040,2019-10,24,71,61,66,66
3991040,2019-11,0,51,97,54,67
4007037,2019-10,4,27,16,13,18
4007037,2019-11,9,26,4,8,13
4007037,2019-12,15,29,7,13,16
4008516,2019-10,14,72,88,69,76
4008516,2019-11,28,67,74,62,68
4012847,2019-10,3,28,6,6,13
4012847,2019-11,7,29,2,0,10
4018146,2019-10,0,75,37,58,57
4018146,2019-11,13,69,35,57,54
4050612,2019-10,34,136,20,116,91
4050612,2019-11,105,189,29,123,114
4050612,2019-12,81,187,14,138,113
4082611,2019-10,5,22,12,19,18
4082611,2019-11,5,21,9,17,16
4086644,2019-10,10,68,54,57,59
4086644,2019-11,7,64,12,52,43
4086644,2019-12,0,46,12,22,26
4104271,2019-10,2,34,13,10,19
4108862,2019-10,3,36,13,14,21
4108862,2019-11,6,40,9,19,22
4124481,2019-10,9,29,14,16,20
4124481,2019-11,1,20,3,7,10
4140951,2019-10,6,28,13,23,21
4140951,2019-11,1,20,5,13,13
